CustomerCode,CountryName,QtyRequired,TotalArea,Amount,ITEM_NAME,QualityName,DesignName,ColorName,ShapeName,AreaFt,AreaMtr
H-1,USA,6,128.25,769.5,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],GREEN/IVORY,REC,128.25,11.5425
H-1,USA,6,117,702,HAND TUFTED,TUFTED 60C,DUDLEY [9012],BEIGE,REC,117,10.53
H-1,USA,7,88,616,HAND TUFTED,TUFTED 60C,WEMBLY [CC-206],BEIGE/SAGE,REC,88,7.92
H-1,USA,7,88,616,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],CHARCOAL,REC,88,7.92
H-1,USA,5,117,585,HAND TUFTED,TUFTED 60C,DUDLEY [9012],NAVY/BEIGE,REC,117,10.53
H-1,USA,6,71.25,427.5,HAND TUFTED,TUFTED 60C,GOVERNOR [9014],BROWN,REC,71.25,6.4125
H-1,USA,35,11.25,393.75,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],SAGE/GREEN,REC,11.25,1.0125
H-1,USA,5,71.25,356.25,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],BEIGE,REC,71.25,6.4125
H-1,USA,4,88,352,HAND TUFTED,TUFTED 60C,DUDLEY [9012],NAVY/BEIGE,REC,88,7.92
H-1,USA,7,40,280,HAND TUFTED,TUFTED 60C,DUDLEY [9012],NAVY/BEIGE,REC,40,3.6
H-1,USA,6,40,240,HANDWOVEN,SHAGGY 0C FELTED,45 MULTI,MULTI,REC,40,3.6
H-1,USA,4,54,216,HAND TUFTED,TUFTED 60C,DUDLEY [9012],BEIGE,REC,54,4.86
H-1,USA,2,88,176,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],SAGE/GREEN,REC,88,7.92
H-1,USA,2,88,176,HAND TUFTED,TUFTED 60C,CHAMBERLAIN [SWR-104],BLACK,REC,88,7.92
H-1,USA,2,88,176,HAND TUFTED,TUFTED 30C MS+VISC 2/16 5PLY,CASTILO [8974],CHARCOAL,REC,88,7.92
H-1,USA,2,88,176,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY,BOMBAY PRINT [8593],MULTI,REC,88,7.92
H-1,USA,2,88,176,HANDWOVEN,SHAGGY 0C FELTED,DENIM,DENIM,REC,88,7.92
H-1,USA,2,88,176,HANDWOVEN,SHAGGY 0C FELTED,FNR-5,LAVA,REC,88,7.92
H-1,USA,2,71.25,142.5,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/IVORY,REC,71.25,6.4125
H-1,USA,5,27,135,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/BLUE,REC,27,2.448
H-1,USA,2,64,128,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/IVORY,ROUND,64,5.76
H-1,USA,2,64,128,HAND TUFTED,TUFTED 60C,GOVERNOR [9014],RUST,ROUND,64,5.76
H-1,USA,2,60.0625,120.125,HAND TUFTED,TUFTED 60C+10C,O.T. [9499],INDIGO,ROUND,60.0625,5.4289
H-1,USA,3,38.5,115.5,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],SAGE/GREEN,REC,38.5,3.486
H-1,USA,2,54,108,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],BEIGE,REC,54,4.86
H-1,USA,2,54,108,HAND TUFTED,TUFTED 60C,GOVERNOR [9014],RUST,REC,54,4.86
H-1,USA,2,49,98,HANDWOVEN,SHAGGY 0C FELTED,FNR-5,LAVA,ROUND,49,4.41
H-1,USA,3,29.25,87.75,HAND TUFTED,TUFTED 60C,GOVERNOR [9014],RUST,REC,29.25,2.6325
H-1,USA,2,42,84,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY,BOMBAY PRINT [8593],MULTI,REC,42,3.792
H-1,USA,2,40,80,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/BLUE,REC,40,3.6
H-1,USA,4,19.25,77,HAND TUFTED,TUFTED 60C+10C,O.T. [9499],INDIGO,REC,19.25,1.7325
H-1,USA,2,36,72,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],GREEN/IVORY,ROUND,36,3.24
H-1,USA,2,36,72,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/IVORY,ROUND,36,3.24
H-1,USA,12,6,72,HAND TUFTED,TUFTED 60C,CHAMBERLAIN [SWR-104],BLACK,REC,6,0.54
H-1,USA,2,33.0625,66.125,HAND TUFTED,TUFTED 60C,DUDLEY [9012],NAVY/BEIGE,ROUND,33.0625,2.9929
H-1,USA,3,16.875,50.625,HAND TUFTED,TUFTED 60C,DUDLEY [9012],NAVY/BEIGE,REC,16.875,1.53
H-1,USA,2,24,48,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/BLUE,REC,24,2.16
